id,repo_id,issue_url,fix_url,Root Cause,Symptom,Trigger,update_time,create_time,description,fix
103,4,https://github.com/thunderbird/thunderbird-android/issues/4248,https://github.com/thunderbird/thunderbird-android/pull/4271/,Improper Error State Handling,Crashes,Server failure?,2024-05-09 10:16:37,2024-05-09 10:16:38,master branch crashes on start when trying to add an IMAP account,Filter duplicate folder names in IMAP LIST response
306,37,https://github.com/commons-app/apps-android-commons/issues/1864,https://github.com/commons-app/apps-android-commons/pull/1865,API Misuse,Crashes,Orientation change,2024-06-26 10:41:16,2024-06-26 10:41:16,LoginActivity crashes when login screen is opened in landscape mode,"LoginActivity used to crash when opened in landscape mode or devices supporting large density pixels
Fixes #1864 and LoginActivity crashes when login screen is opened in landscape mode

"
152,12,https://github.com/fossasia/phimpme-android/issues/2889,https://github.com/fossasia/phimpme-android/pull/2890,NA,NA,NA,2024-05-15 23:06:13,2024-05-15 23:06:14,"Fixed #2889 : Converted accounts mvp to mvvm architecture

","Changes: Removed the presenter, contractor and introduced viewmodel and repository"
84,5,"https://github.com/pockethub/PocketHub/issues/916
",https://github.com/pockethub/PocketHub/pull/918/,NA,NA,NA,2024-05-02 13:45:59,2024-05-02 13:46:00,"Without set key and token, App will show 404 error
",Show warnings if oauth values aren't set
81,5,"https://github.com/pockethub/PocketHub/issues/1222
","https://github.com/pockethub/PocketHub/pull/1229
",API Misuse,Crashes,Orientation change,2024-05-02 13:42:16,2024-05-02 13:42:17,App crash after device rotation,Crashes happened when the user rotates the device multiple times before the webview finishes it's request to github for the login page. This caused the UI to not update correctly.Fix: added config changes to AndroidManifest.xml in LoginWebViewActivity tag to prevent this activity from being recreated on orientation change and making multiple web calls.
58,3,https://github.com/element-hq/element-android/issues/4969,https://github.com/element-hq/element-android/pull/4973,Incorrect Branch or State Consequence,Crashes,Specific login approach,2024-01-24 15:00:00,2024-01-24 14:00:00,App crashes on attempt to log in to SAML-only homeserver,add filter for new login website type
274,34,https://github.com/home-assistant/android/issues/103,https://github.com/home-assistant/android/pull/120,Wrong Environment Dependency,Crashes,Triggered by Any Login Action ,2024-06-25 11:23:50,2024-06-25 11:23:50,App closes/crashes when pasting username or password on login,update translations manual.
5,1,https://github.com/wordpress-mobile/WordPress-Android/issues/17147,https://github.com/wordpress-mobile/WordPress-Android/pull/17199,NA,NA,NA,2024-01-24 15:00:00,2024-01-24 14:00:00,Google login does not work on release/ci builds,Improve the Installable Build comment
123,8,https://github.com/firebase/FirebaseUI-Android/issues/549,https://github.com/firebase/FirebaseUI-Android/pull/618,Null Object Check Omission,Crashes,Orientation change,2024-05-09 13:17:58,2024-05-09 13:18:00,"Account selector UI that overlays on top of the root UI gets created multiple times, once with every orientation change rotation. Then, I have to tap on the desired account once for each instance, as they disappear one by one, and after the last one, app crashes:","I can't reproduce this, but I know it's happened to me too a few times before. While the stacktrace is the same, I think this is a completely different issue than #549. Basically, our fragments stay alive beyond the activity lifecycle so that we can keep logging the user in even if they rotate the screen. This gets a little messy though because we could be trying to finish the activity while it's in no-man's land between an onDestroy and an onCreate. My guess is that since the phone you mentioned is older and slower, it takes much longer for the activity to recreate and attach itself to our fragments thus increasing the likelihood of a crash. Anyway, hopefully #618 will fix this kind of issue once and for all."
323,40,https://github.com/mozilla-mobile/reference-browser/issues/424,https://github.com/mozilla/fxa-content-server/pull/6893,Incorrect Branch or State Consequence,Incorrect Navigation Flow,Triggered by Any Login Action ,2024-06-30 18:22:29,2024-06-30 18:22:29,Signing into sync with email confirmation requires the user to login twice,Enroll Reference Browser in the token codes experiment
32,2,https://github.com/nextcloud/android/issues/4585,https://github.com/nextcloud/android/pull/4626,API Misuse,Crashes,Specific Device,2024-01-26 15:00:00,2024-01-26 14:00:00,Login failed due to login fragment,remove extra custom setting of Customs EditText and instead with EditText
90,4,https://github.com/thunderbird/thunderbird-android/issues/7330,https://github.com/thunderbird/thunderbird-android/pull/7491,Incorrect Branch or State Consequence,Incorrect Navigation Flow,Account Management Operation,2024-05-02 14:29:12,2024-05-02 14:29:13,After account setup show inbox of newly created account,Display inbox of newly created account after account setup
147,12,https://github.com/fossasia/phimpme-android/issues/2953,https://github.com/fossasia/phimpme-android/pull/2978,Wrong Environment Dependency,Crashes,Communicating with Cloud failure ,2024-05-15 23:06:13,2024-05-15 23:06:14,Crash in accounts Fragment,Changes: Made the app id the same in the Manifest file as it is there in Constant.java
203,25,https://github.com/AntennaPod/AntennaPod/issues/2914,https://github.com/AntennaPod/AntennaPod/pull/3266,?,Authentication Failures,Communicating with Cloud failure ,2024-05-23 08:59:14,2024-05-23 08:59:14,Flattr login returns 404,Removed Flattr support
30,2,https://github.com/nextcloud/android/issues/6481,https://github.com/nextcloud/android/pull/6476,Null Object Check Omission,Crashes,Triggered by Any Login Action,2024-01-26 15:00:00,2024-01-26 14:00:00,Access empty user cause NPE,add anonymous user
358,43,https://github.com/woocommerce/woocommerce-android/issues/3511,https://github.com/woocommerce/woocommerce-android/pull/3515,API Misuse,Crashes,?,2024-07-01 19:22:32,2024-07-01 19:22:32,Crash when clicking on the help dialog button during login,"Fixes #3511, the cause of the crash is that we are trying to access binding in setEnabled, but setEnabled is called from the base constructor, so binding is null there.
But when checking the code of super.setEnabled, I don't think we need to make any changes ourselves, as the base implementation updates the status for all child views:"
232,31,https://github.com/tuskyapp/Tusky/issues/990,https://github.com/tuskyapp/Tusky/pull/999,Improper State Saving or Restoration,Account Management function breaks,? Account Management Operation,2024-05-29 23:59:54,2024-05-29 23:59:58,Problem with toot cache when logging in with a new account,Never use 0 account ids to prevent caching problems
320,39,https://github.com/wallabag/android-app/issues/744,https://github.com/wallabag/wallabag/pull/3784,?,Authentication Failures,Communicating with Cloud failure ,2024-06-30 18:22:29,2024-06-30 18:22:29,Wallabag Service Not Found - Check URL (in Android App),class and alt tags must be in the correct order for the android app to recognize the wallabag server
266,34,https://github.com/home-assistant/android/issues/2217,https://github.com/home-assistant/android/pull/2646,Improper Error State Handling,Account Management function breaks,Communicating with Cloud failure ,2024-06-25 10:47:49,2024-06-25 10:47:49,Issue on new install -- not saving settings,"Fixes #2217 - the app will no longer suppress/continue on failed registration during onboarding, and if it failed because the mobile_app integration is missing it will show a specific error message to indicate this"
66,4,https://github.com/thunderbird/thunderbird-android/issues/3661,https://github.com/thunderbird/thunderbird-android/pull/3804,? Enhancement,,,2024-05-02 11:04:37,2024-05-02 11:04:38,"Google Has Started Blocking SignIns since using K9 Mail ,hasn't support for XOAUTH2 ",Add ability to setup an Android Account with XOAUTH2
365,43,https://github.com/woocommerce/woocommerce-android/issues/381,https://github.com/woocommerce/woocommerce-android/pull/382,Null Object Check Omission,Crashes,Communicating with Cloud failure,2024-07-01 19:27:38,2024-07-01 19:27:38,Fatal Exception: IllegalArgumentException in LoginAnalyticsTracker,"the error log showed that the crash was due to a null errorDescription. This PR resolves it by allowed for that parameter to be null.

"
132,8,https://github.com/firebase/FirebaseUI-Android/issues/171,https://github.com/firebase/FirebaseUI-Android/pull/372,? Enhancement,,,2024-05-09 13:17:58,2024-05-09 13:18:00,Smart Lock does not retrieve saved Facebook credential,Add Facebook and Twitter to Smartlock read
117,8,https://github.com/firebase/FirebaseUI-Android/issues/1118,https://github.com/firebase/FirebaseUI-Android/pull/1120,Incorrect Branch or State Consequence,Incorrect Navigation Flow,Specific login approach,2024-05-09 12:17:42,2024-05-09 12:17:42,SmartLock Email picker always shown even user didn't choose email login,Only request credentials for the appropriate providers
108,7,https://github.com/TeamAmaze/AmazeFileManager/issues/2313,https://github.com/TeamAmaze/AmazeFileManager/pull/2317,Improper Encoding Algorithm,Crashes,Specific Input,2024-05-09 11:17:56,2024-05-09 11:17:55,Crash if password has % symbol in SMB connection,"Use NtlmPasswordAuthenticator in place of NtlmPasswordAuthentication,Using it can allow us to fill in decoded authentication parameters."
197,25,https://github.com/AntennaPod/AntennaPod/issues/6566,https://github.com/AntennaPod/AntennaPod/pull/6600,Incorrect Branch or State Consequence,Incorrect Navigation Flow,Specific login approach,2024-05-23 08:59:14,2024-05-23 08:59:14,"Can't setup sync with nextcloud, antennapod does not notice me logging in with firefox focus",Restore Nextcloud login state when recreated
20,2,https://github.com/nextcloud/android/issues/9524,https://github.com/nextcloud/android/pull/9607,Incorrect Branch or State Consequence,Crashes,?,2024-01-26 15:00:00,2024-01-26 14:00:00,login problem,check if user info result is success before proceeding
153,12,https://github.com/fossasia/phimpme-android/issues/2021,https://github.com/fossasia/phimpme-android/pull/2023,Improper Error State Handling,Crashes,Specific login approach,2024-05-15 23:06:13,2024-05-15 23:06:14,App crashing when clicking on dropbox and Flickr from the accounts section.,"Changes: App crashing fixed for Dropbox authentication(App was crashing on aborting the authentication process after having initialized it). For Flickr, on aborting the authentication process midway, the authentication status was still being changed to successful(this should happen only in the case of successful authentication)."
19,2,https://github.com/nextcloud/android/issues/9971,https://github.com/nextcloud/android/pull/9976,Improper State Saving or Restoration,Crashes,Account Management Operation,2024-01-26 15:00:00,2024-01-26 14:00:00,Crash while sharing to nextcloud without prior login,Check whether user exist
368,44,https://github.com/aws-amplify/amplify-android/issues/2504,https://github.com/aws-amplify/amplify-android/pull/2508,Improper Encoding Algorithm,Crashes,Account Management Operation,2024-07-01 19:31:48,2024-07-01 19:31:48,NotAuthorizedException: Client xxxxx is configured with secret but SECRET_HASH was not received,Fix for adding missing parameter for resolving device SRP
28,2,https://github.com/nextcloud/android/issues/8725,https://github.com/nextcloud/android/pull/8726,Null Object Check Omission,Crashes,Triggered by Any Login Action,2024-01-26 15:00:00,2024-01-26 14:00:00,NPE checking if user changes in FIleDisplayActivity,checking if user object exist
8,1,https://github.com/wordpress-mobile/WordPress-Android/issues/7922,https://github.com/wordpress-mobile/WordPress-Android/pull/9601,Improper Error State Handling,? Authentication Failures,? Specific login approach,2024-01-24 15:00:00,2024-01-24 14:00:00,Login: Error says log in with username instead of email,Redirect to username/pass login on email_login_not_allowed
294,37,https://github.com/commons-app/apps-android-commons/issues/5532,https://github.com/commons-app/apps-android-commons/pull/5534,API Misuse,Inaccurate error message displayed,Triggered by Any Login Action,2024-06-26 10:04:40,2024-06-26 10:04:40,"Unable to Open the Privacy Policy on the app's login page. This can become a hurdle in getting the app Reviewed in Release as Play Store Guidelines require there to be an accessible privacy policy, this can lead to app update getting rejected too.

",Removed a misleading check that was stopping the GitHub App to Open the Url for Privacy Policy.
312,38,https://github.com/element-hq/element-x-android/issues/1145,https://github.com/element-hq/element-x-android/pull/1149,? Incorrect Branch or State Consequence,Incorrect Navigation Flow,Specific login approach,2024-06-26 11:46:19,2024-06-26 11:46:19,"missing the ""setting up account"" login screen","""Setting up account"" screen"
120,8,https://github.com/firebase/FirebaseUI-Android/issues/819,https://github.com/firebase/FirebaseUI-Android/pull/821/,Null Object Check Omission,Crashes,Specific login approach,2024-05-09 12:17:42,2024-05-09 12:17:42,NPE occurs when Smart Lock is used for re-login of user previously signed in via google.,The lifecycle goes onCreate -> onActiviyCreated and we use the activity before we intialize it.
80,4,https://github.com/thunderbird/thunderbird-android/issues/865,https://github.com/thunderbird/thunderbird-android/pull/6750,Improper Error State Handling,Crashes,Specific login approach,2024-05-02 13:36:09,2024-05-02 13:36:10,"When using K9 mail with IMAP/SMTP servers other than well known mail service providers like GMail, automatic configuration of new mail accounts will almost certainly fail.",Fixed ThunderbirdAutoconfigFetcher throwing on IOExceptions
