#,issue_id,aspect_id,subcategory_id
1,1,1,23
2,1,2,27
3,1,3,42
4,2,1,23
5,2,2,27
6,2,3,43
7,3,1,23
8,3,2,27
9,3,3,43
10,4,1,19
11,4,2,30
12,4,3,36
13,5,1,9
14,5,2,27
15,5,3,42
16,6,1,26
17,6,2,28
18,6,3,36
19,7,1,26
20,7,2,28
21,7,3,35
22,8,1,26
23,8,2,28
24,8,3,36
25,9,1,22
26,9,2,27
27,9,3,42
28,10,1,9
29,10,2,27
30,10,3,37
31,11,1,6
32,11,2,29
33,11,3,36
34,12,1,6
35,12,2,27
36,12,3,36
37,13,1,9
38,13,2,27
39,13,3,37
40,14,1,22
41,14,2,31
42,14,3,35
43,15,1,22
44,15,2,31
45,15,3,35
46,16,1,22
47,16,2,31
48,16,3,34
49,17,1,23
50,17,2,27
51,17,3,38
52,18,1,6
53,18,2,27
54,18,3,36
55,19,1,22
56,19,2,31
57,19,3,42
58,20,1,26
59,20,2,27
60,20,3,39
61,21,1,26
62,21,2,31
63,21,3,39
64,22,1,26
65,22,2,27
66,22,3,39
67,23,1,19
68,23,2,30
69,23,3,41
70,24,1,19
71,24,2,31
72,24,3,42
73,25,1,19
74,25,2,31
75,25,3,42
76,26,1,19
77,26,2,31
78,26,3,42
79,27,1,19
80,27,2,31
81,27,3,42
82,28,1,22
83,28,2,31
84,28,3,35
85,29,1,6
86,29,2,27
87,29,3,36
88,30,1,25
89,30,2,31
90,30,3,42
91,31,1,19
92,31,2,27
93,31,3,41
94,32,1,19
95,32,2,27
96,32,3,41
97,33,1,19
98,33,2,27
99,33,3,41
100,34,1,25
101,34,2,29
102,34,3,34
103,35,1,25
104,35,2,29
105,35,3,34
106,36,1,23
107,36,2,31
108,36,3,42
109,37,1,19
110,37,2,27
111,37,3,42
112,38,1,19
113,38,2,27
114,38,3,38
115,39,1,19
116,39,2,27
117,39,3,38
118,40,1,19
119,40,2,27
120,40,3,38
121,41,1,19
122,41,2,27
123,41,3,38
124,42,1,19
125,42,2,27
126,42,3,38
127,43,1,26
128,43,2,31
129,43,3,39
130,44,1,26
131,44,2,30
132,44,3,36
133,45,1,25
134,45,2,27
135,45,3,36
136,46,1,24
137,46,2,27
138,46,3,35
139,46,3,42
140,47,1,26
141,47,2,28
142,47,3,36
143,48,1,25
144,48,2,31
145,48,3,35
146,48,3,37
147,49,1,25
148,49,2,31
149,49,3,35
150,49,3,37
151,50,1,22
152,50,2,31
153,50,3,36
154,50,3,42
155,51,1,25
156,51,2,30
157,51,3,42
158,51,3,42
159,52,1,25
160,52,2,30
161,52,3,42
162,53,1,25
163,53,2,30
164,53,3,42
165,54,1,25
166,54,2,29
167,54,3,34
168,54,3,42
169,54,3,42
170,55,1,22
171,55,2,31
172,55,3,41
173,56,1,25
174,56,2,29
175,56,3,34
176,57,1,23
177,57,2,29
178,57,3,34
179,58,1,25
180,58,2,30
181,58,3,36
182,58,3,42
183,59,1,25
184,59,2,29
185,59,3,42
186,59,3,34
187,59,3,36
188,60,1,23
189,60,2,30
190,60,3,42
191,60,3,42
192,60,3,38
193,61,1,26
194,61,2,29
195,61,3,34
196,61,3,36
197,62,1,25
198,62,2,29
199,62,3,34
200,62,3,39
201,63,1,6
202,63,2,27
203,63,3,36
204,63,3,39
205,64,1,24
206,64,2,27
207,64,3,42
208,64,3,34
209,65,1,25
210,65,2,29
211,65,3,34
212,65,3,42
213,66,1,19
214,66,2,27
215,66,3,42
216,67,1,9
217,67,2,28
218,67,3,36
219,67,3,35
220,68,1,25
221,68,2,27
222,68,3,42
223,69,1,24
224,69,2,27
225,69,3,42
226,70,1,24
227,70,2,30
228,70,3,36
229,70,3,39
230,71,1,9
231,71,2,27
232,71,3,37
233,72,1,25
234,72,2,27
235,72,3,42
236,73,1,24
237,73,2,27
238,73,3,41
239,74,1,19
240,74,2,27
241,74,3,36
242,74,3,39
243,75,1,6
244,75,2,27
245,75,3,36
246,76,1,6
247,76,2,27
248,76,3,36
249,77,1,23
250,77,2,29
251,77,3,34
252,78,1,23
253,78,2,29
254,78,3,34
255,79,1,25
256,79,2,27
257,79,3,42
258,79,3,34
259,79,3,35
260,80,1,24
261,80,2,27
262,80,3,42
263,81,1,23
264,81,2,31
265,81,3,43
266,82,1,25
267,82,2,29
268,82,3,34
269,83,1,19
270,83,2,30
271,83,3,41
272,84,1,25
273,84,2,28
274,84,3,42
275,85,1,19
276,85,2,27
277,85,3,41
278,86,1,6
279,86,2,27
280,86,3,36
281,87,1,24
282,87,2,29
283,87,3,34
284,87,3,42
285,88,1,22
286,88,2,31
287,88,3,36
288,88,3,34
289,89,1,6
290,89,2,31
291,89,3,36
292,90,1,24
293,90,2,30
294,90,3,42
295,91,1,23
296,91,2,29
297,91,3,42
298,92,1,22
299,92,2,31
300,92,3,34
301,93,1,9
302,93,2,30
303,93,3,41
304,94,1,6
305,94,2,27
306,94,3,36
307,95,1,25
308,95,2,30
309,95,3,37
310,96,1,25
311,96,2,31
312,96,3,34
313,97,1,26
314,97,2,28
315,97,3,39
316,97,3,42
317,98,1,6
318,98,2,29
319,98,3,36
320,98,3,34
321,99,1,25
322,99,2,29
323,99,3,34
324,100,1,23
325,100,2,29
326,100,3,34
327,100,3,35
328,101,1,23
329,101,2,30
330,101,3,43
331,102,1,25
332,102,2,31
333,102,3,42
334,103,1,25
335,103,2,29
336,103,3,34
337,104,1,24
338,104,2,29
339,104,3,34
340,105,1,23
341,105,2,30
342,105,3,39
343,105,3,42
344,106,1,23
345,106,2,30
346,106,3,41
347,107,1,23
348,107,2,30
349,107,3,36
350,107,3,39
351,108,1,6
352,108,2,31
353,108,3,36
354,109,1,23
355,109,2,30
356,109,3,43
357,110,1,26
358,110,2,28
359,110,3,39
360,111,1,26
361,111,2,28
362,111,3,41
363,112,1,26
364,112,2,28
365,112,3,42
366,113,1,19
367,113,2,27
368,113,3,42
369,114,1,26
370,114,2,27
371,114,3,42
372,115,1,25
373,115,2,29
374,115,3,34
375,115,3,36
376,116,1,25
377,116,2,28
378,116,3,34
379,117,1,24
380,117,2,30
381,117,3,41
382,118,1,19
383,118,2,29
384,118,3,34
385,118,3,39
386,119,1,25
387,119,2,28
388,119,3,42
389,119,3,39
390,120,1,22
391,120,2,31
392,120,3,42
393,120,3,35
394,121,1,23
395,121,2,30
396,121,3,43
397,122,1,25
398,122,2,27
399,122,3,41
400,123,1,23
401,123,2,31
402,123,3,43
403,124,1,25
404,124,2,27
405,124,3,42
406,124,3,37
407,125,1,24
408,125,2,27
409,125,3,42
410,125,3,36
411,126,1,25
412,126,2,31
413,126,3,42
414,126,3,36
415,127,1,26
416,127,2,28
417,127,3,42
418,128,1,26
419,128,2,27
420,128,3,42
421,129,1,24
422,129,2,30
423,129,3,42
424,130,1,23
425,130,2,27
426,130,3,42
427,131,1,26
428,131,2,27
429,131,3,42
430,132,1,23
431,132,2,27
432,132,3,42
433,133,1,24
434,133,2,27
435,133,3,42
436,134,1,26
437,134,2,30
438,134,3,42
439,134,3,39
440,135,1,25
441,135,2,30
442,135,3,34
443,135,3,42
444,136,1,25
445,136,2,29
446,136,3,34
447,137,1,6
448,137,2,27
449,137,3,36
450,138,1,6
451,138,2,27
452,138,3,36
453,139,1,24
454,139,2,27
455,139,3,34
456,140,1,19
457,140,2,27
458,140,3,42
459,141,1,24
460,141,2,30
461,141,3,42
462,142,1,25
463,142,2,31
464,142,3,34
465,143,1,25
466,143,2,27
467,143,3,42
468,144,1,24
469,144,2,30
470,144,3,36
471,144,3,42
472,145,1,9
473,145,2,27
474,145,3,37
475,146,1,25
476,146,2,29
477,146,3,42
478,146,3,34
479,147,1,22
480,147,2,31
481,147,3,34
482,148,1,24
483,148,2,30
484,148,3,34
485,149,1,22
486,149,2,31
487,149,3,34
488,150,1,9
489,150,2,31
490,150,3,37
491,151,1,9
492,151,2,31
493,151,3,41
494,152,1,24
495,152,2,29
496,152,3,34
497,153,1,26
498,153,2,31
499,153,3,34
500,154,1,22
501,154,2,31
502,154,3,34
503,155,1,19
504,155,2,27
505,155,3,36
506,155,3,42
507,156,1,6
508,156,2,27
509,156,3,36
510,157,1,24
511,157,2,27
512,157,3,36
513,157,3,42
514,158,1,24
515,158,2,27
516,158,3,36
517,158,3,42
518,159,1,24
519,159,2,27
520,159,3,36
521,159,3,42
522,160,1,24
523,160,2,27
524,160,3,36
525,161,1,26
526,161,2,27
527,161,3,42
528,162,1,23
529,162,2,27
530,162,3,34
531,162,3,39
532,163,1,26
533,163,2,28
534,163,3,39
535,163,3,42
536,164,1,26
537,164,2,28
538,164,3,36
539,164,1,26
540,164,2,28
541,164,3,36
542,164,3,42
543,165,1,25
544,165,2,29
545,165,3,34
546,166,1,24
547,166,2,28
548,166,3,34
549,167,1,9
550,167,2,27
551,167,3,39
552,167,3,42
553,168,1,23
554,168,2,31
555,168,3,37
556,168,3,39
557,169,1,19
558,169,2,27
559,169,3,37
560,170,1,22
561,170,2,27
562,170,3,42
563,171,1,19
564,171,2,31
565,171,3,42
566,172,1,9
567,172,2,27
568,172,3,37
569,173,1,9
570,173,2,27
571,173,3,34
572,174,1,25
573,174,2,27
574,174,3,34
575,175,1,24
576,175,2,30
577,175,3,35
578,176,1,22
579,176,2,31
580,176,3,41
581,177,1,25
582,177,2,29
583,177,3,34
584,177,3,39
585,178,1,26
586,178,2,29
587,178,3,34
588,179,1,25
589,179,2,30
590,179,3,42
591,179,3,34
592,180,1,9
593,180,2,27
594,180,3,37
595,181,1,6
596,181,2,27
597,181,3,36
598,182,1,22
599,182,2,31
600,182,3,34
601,183,1,23
602,183,2,31
603,183,3,34
604,184,1,24
605,184,2,30
606,184,3,36
607,185,1,26
608,185,2,28
609,185,3,39
610,186,1,26
611,186,2,28
612,186,3,34
613,186,3,36
614,187,1,22
615,187,2,31
616,187,3,36
617,187,3,42
618,188,1,19
619,188,2,27
620,188,3,42
621,189,1,19
622,189,2,27
623,189,3,42
624,190,1,9
625,190,2,27
626,190,3,39
627,191,1,19
628,191,2,29
629,191,3,41
630,192,1,19
631,192,2,27
632,192,3,39
633,193,1,23
634,193,2,28
635,193,3,36
636,194,1,22
637,194,2,31
638,194,3,37
639,195,1,24
640,195,2,31
641,195,3,34
642,196,1,23
643,196,2,27
644,196,3,34
645,197,1,23
646,197,2,27
647,197,3,42
648,198,1,19
649,198,2,29
650,198,3,39
651,198,3,38
652,199,1,19
653,199,2,27
654,199,3,39
655,199,3,38
656,200,1,6
657,200,2,27
658,200,3,36
659,201,1,19
660,201,2,27
661,201,3,36
662,202,1,23
663,202,2,30
664,202,3,43
665,203,1,26
666,203,2,28
667,203,3,42
668,204,1,24
669,204,2,30
670,204,3,41
671,205,1,24
672,205,2,30
673,205,3,35
674,205,3,36
675,206,1,23
676,206,2,29
677,206,3,34
678,207,1,23
679,207,2,29
680,207,3,34
681,208,1,9
682,208,2,27
683,208,3,37
684,209,1,23
685,209,2,27
686,209,3,36
687,210,1,24
688,210,2,27
689,210,3,36
690,211,1,19
691,211,2,27
692,211,3,36
693,212,1,19
694,212,2,27
695,212,3,36
696,213,1,23
697,213,2,30
698,213,3,43
699,214,1,25
700,214,2,30
701,214,3,35
702,215,1,26
703,215,2,28
704,215,3,36
705,216,1,19
706,216,2,27
707,216,3,42
708,217,1,24
709,217,2,27
710,217,3,35
711,218,1,19
712,218,2,27
713,218,3,39
714,218,3,42
715,219,1,26
716,219,2,28
717,219,3,34
718,220,1,24
719,220,2,27
720,220,3,34
721,220,3,42
722,221,1,22
723,221,2,31
724,221,3,34
725,222,1,19
726,222,2,29
727,222,3,34
728,223,1,25
729,223,2,30
730,223,3,35
731,224,1,24
732,224,2,29
733,224,3,34
734,225,1,25
735,225,2,29
736,225,3,34
737,226,1,24
738,226,2,27
739,226,3,36
740,227,1,23
741,227,2,29
742,227,3,34
743,228,1,19
744,228,2,31
745,228,3,34
746,229,1,24
747,229,2,30
748,229,3,42
749,230,1,26
750,230,2,29
751,230,3,34
752,231,1,23
753,231,2,31
754,231,3,34
755,232,1,19
756,232,2,29
757,232,3,34
758,233,1,9
759,233,2,27
760,233,3,37
761,234,1,24
762,234,2,29
763,234,3,34
764,235,1,22
765,235,2,31
766,235,3,34
767,235,3,37
768,236,1,19
769,236,2,31
770,236,3,34
771,236,3,42
772,237,1,6
773,237,2,27
774,237,3,36
775,238,1,24
776,238,2,29
777,238,3,34
778,239,1,23
779,239,2,29
780,239,3,34
781,240,1,6
782,240,2,27
783,240,3,36
784,241,1,25
785,241,2,30
786,241,3,42
787,242,1,23
788,242,2,31
789,242,3,43
790,243,1,26
791,243,2,28
792,243,3,36
793,243,3,34
794,244,1,24
795,244,2,30
796,244,3,42
797,245,1,24
798,245,2,30
799,245,3,34
800,246,1,26
801,246,2,31
802,246,3,42
803,247,1,26
804,247,2,30
805,247,3,34
806,248,1,26
807,248,2,31
808,248,3,41
809,249,1,26
810,249,2,30
811,249,3,34
812,250,1,24
813,250,2,30
814,250,3,42
815,251,1,6
816,251,2,30
817,251,3,42
818,251,3,36
819,252,1,24
820,252,2,30
821,252,3,42
822,253,1,25
823,253,2,29
824,253,3,34
825,254,1,24
826,254,2,29
827,254,3,34
828,255,1,25
829,255,2,30
830,255,3,34
831,256,1,19
832,256,2,27
833,256,3,36
834,257,1,9
835,257,2,31
836,257,3,37
837,258,1,19
838,258,2,27
839,258,3,36
840,258,3,42
841,259,1,19
842,259,2,27
843,259,3,42
844,259,3,37
845,260,1,19
846,260,2,27
847,260,3,42
848,260,3,37
849,261,1,9
850,261,2,27
851,261,3,36
852,262,1,26
853,262,2,27
854,262,3,36
855,264,1,23
856,264,2,30
857,264,3,43
858,265,1,23
859,265,2,30
860,265,3,37
861,265,3,42
862,265,3,38
863,266,1,25
864,266,2,29
865,266,3,34
866,266,3,42
867,267,1,9
868,267,2,27
869,267,3,37
870,268,1,22
871,268,2,31
872,268,3,37
873,269,1,26
874,269,2,27
875,269,3,39
876,269,3,35
877,270,1,26
878,270,2,31
879,270,3,34
880,271,1,25
881,271,2,27
882,271,3,34
883,272,1,24
884,272,2,30
885,272,3,42
886,273,1,24
887,273,2,30
888,273,3,41
889,274,1,26
890,274,2,31
891,274,3,36
892,275,1,22
893,275,2,31
894,275,3,39
895,276,1,25
896,276,2,31
897,276,3,37
898,277,1,22
899,277,2,31
900,277,3,37
901,277,3,41
902,278,1,25
903,278,2,27
904,278,3,37
905,278,3,41
906,279,1,19
907,279,2,27
908,279,3,39
909,280,1,19
910,280,2,27
911,280,3,37
912,280,3,42
913,281,1,19
914,281,2,31
915,281,3,36
916,282,1,9
917,282,2,31
918,282,3,39
919,283,1,24
920,283,2,27
921,283,3,36
922,283,3,42
923,284,1,23
924,284,2,30
925,284,3,43
926,284,3,38
927,285,1,24
928,285,2,30
929,285,3,34
930,286,1,25
931,286,2,30
932,286,3,36
933,286,3,42
934,287,1,25
935,287,2,30
936,287,3,34
937,288,1,19
938,288,2,30
939,288,3,41
940,289,1,26
941,289,2,27
942,289,3,36
943,289,3,42
944,290,1,23
945,290,2,27
946,290,3,41
947,291,1,22
948,291,2,29
949,291,3,34
950,292,1,6
951,292,2,27
952,292,3,36
953,293,1,26
954,293,2,28
955,293,3,34
956,294,1,24
957,294,2,30
958,294,3,42
959,295,1,6
960,295,2,28
961,295,3,34
962,296,1,26
963,296,2,31
964,296,3,34
965,297,1,26
966,297,2,29
967,297,3,34
968,297,3,38
969,298,1,26
970,298,2,29
971,298,3,42
972,298,3,38
973,299,1,25
974,299,2,31
975,299,3,34
976,300,1,23
977,300,2,30
978,300,3,43
979,301,1,23
980,301,2,30
981,301,3,43
982,302,1,24
983,302,2,30
984,302,3,34
985,302,3,36
986,303,1,24
987,303,2,29
988,303,3,34
989,304,1,19
990,304,2,27
991,304,3,39
992,305,1,19
993,305,2,27
994,305,3,39
995,306,1,23
996,306,2,31
997,306,3,37
998,308,1,25
999,308,2,27
1000,308,3,36
1001,309,1,25
1002,309,2,30
1003,309,3,36
1004,309,3,38
1005,310,1,24
1006,310,2,27
1007,310,3,41
1008,311,1,6
1009,311,2,27
1010,311,3,36
1011,312,1,25
1012,312,2,30
1013,312,3,34
1014,313,1,26
1015,313,2,27
1016,313,3,36
1017,313,3,39
1018,314,1,26
1019,314,2,28
1020,314,3,41
1021,315,1,19
1022,315,2,30
1023,315,3,42
1024,316,1,26
1025,316,2,28
1026,316,3,36
1027,317,1,25
1028,317,2,30
1029,317,3,41
1030,318,1,23
1031,318,2,27
1032,318,3,42
1033,318,3,36
1034,319,1,19
1035,319,2,27
1036,319,3,39
1037,320,1,19
1038,320,2,27
1039,320,3,39
1040,320,3,36
1041,321,1,26
1042,321,2,29
1043,321,3,34
1044,321,3,39
1045,322,1,23
1046,322,2,31
1047,322,3,34
1048,323,1,26
1049,323,2,30
1050,323,3,41
1051,324,1,23
1052,324,2,27
1053,324,3,34
1054,324,3,38
1055,325,1,25
1056,325,2,27
1057,325,3,34
1058,325,3,41
1059,326,1,19
1060,326,2,31
1061,326,3,37
1062,327,1,22
1063,327,2,31
1064,327,3,34
1065,328,1,19
1066,328,2,31
1067,328,3,36
1068,329,1,26
1069,329,2,27
1070,329,3,42
1071,330,1,26
1072,330,2,28
1073,330,3,35
1074,331,1,26
